                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90926,                0.65404,                   1.21,                0.90974,                0.95413,                0.96875,                 0.7816,                0.79075,                0.43635,                 1.1544,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.9017,                0.63018,                 1.1964,                0.91417,                0.94457,                0.96435,                0.74415,                0.84896,                 0.4603,                 1.2101,              0.0013268,              0.0013268,              0.0013268
                     37,                0.88594,                0.64497,                  1.182,                0.91599,                0.96942,                0.97197,                0.77629,                0.77977,                0.42991,                 1.1534,               0.001307,               0.001307,               0.001307
                     38,                0.85521,                0.61876,                 1.1708,                0.91741,                0.95115,                0.96665,                0.78235,                0.77307,                0.43047,                 1.1538,              0.0012872,              0.0012872,              0.0012872
                     39,                0.87918,                0.61593,                 1.1884,                0.91286,                0.96114,                0.97041,                0.77895,                0.76391,                0.43181,                 1.1526,              0.0012674,              0.0012674,              0.0012674
                     40,                0.84385,                0.59931,                 1.1595,                0.90416,                0.98095,                0.96881,                0.78826,                0.74849,                0.41368,                 1.1322,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.8388,                0.58624,                  1.162,                0.91842,                  0.964,                0.97763,                0.79876,                0.75427,                0.40244,                 1.1309,              0.0012278,              0.0012278,              0.0012278
                     42,                0.86439,                0.59844,                 1.1831,                0.93143,                0.95719,                0.96909,                0.77765,                0.76154,                0.41556,                 1.1385,               0.001208,               0.001208,               0.001208
                     43,                0.85176,                0.60083,                 1.1691,                0.90863,                0.97311,                0.96812,                0.79004,                0.74745,                0.42259,                 1.1153,              0.0011882,              0.0011882,              0.0011882
                     44,                0.86265,                0.60423,                 1.1854,                0.92114,                0.94801,                0.97087,                 0.7788,                0.75636,                0.42683,                 1.1311,              0.0011684,              0.0011684,              0.0011684
                     45,                0.83923,                0.59902,                 1.1684,                0.90478,                0.97554,                0.97032,                 0.7941,                0.73604,                0.40909,                 1.1213,              0.0011486,              0.0011486,              0.0011486
                     46,                0.82059,                 0.5858,                 1.1495,                0.92382,                0.95107,                0.96468,                0.79238,                0.73457,                0.41035,                 1.1164,              0.0011288,              0.0011288,              0.0011288
                     47,                0.81243,                0.57979,                 1.1459,                0.91487,                0.95308,                0.96583,                0.77845,                0.73867,                0.43232,                 1.1094,               0.001109,               0.001109,               0.001109
                     48,                0.81942,                0.58528,                 1.1508,                0.91239,                0.95546,                0.97401,                0.79102,                0.74522,                0.42968,                 1.1169,              0.0010892,              0.0010892,              0.0010892
                     49,                0.80923,                0.57608,                 1.1437,                0.90887,                0.97554,                0.97369,                0.80799,                0.72742,                0.39964,                 1.1205,              0.0010694,              0.0010694,              0.0010694
                     50,                0.81288,                0.57466,                  1.145,                0.90636,                0.97682,                0.96403,                0.79435,                0.72144,                0.39826,                 1.0964,              0.0010496,              0.0010496,              0.0010496
                     51,                0.79912,                0.55502,                 1.1264,                0.88583,                0.99659,                0.97071,                0.79887,                0.72271,                0.39341,                 1.0919,              0.0010298,              0.0010298,              0.0010298
                     52,                0.81338,                 0.5772,                  1.148,                 0.9209,                0.96125,                0.97005,                0.78707,                 0.7408,                0.40177,                 1.1182,                0.00101,                0.00101,                0.00101
